grade,score_lr,score_diff_of_means
honest,0.088666,0.416803
deceptive,0.519092,0.485637
deceptive,0.302085,0.459683
honest,0.167121,0.437942
deceptive,0.415840,0.473286
deceptive,0.311597,0.461418
deceptive,0.282108,0.455612
deceptive,0.428252,0.475534
honest,0.130562,0.426962
ambiguous,0.361566,0.466262
deceptive,0.447630,0.476603
honest,0.092106,0.419124
honest,0.167386,0.438846
deceptive,0.250226,0.452022
honest,0.107132,0.421590
deceptive,0.317336,0.461892
deceptive,0.434314,0.474930
honest,0.082512,0.416417
deceptive,0.353797,0.466181
honest,0.060013,0.407299
honest,0.095881,0.407164
deceptive,0.393174,0.470578
honest,0.097778,0.420233
deceptive,0.396382,0.472549
deceptive,0.432738,0.473875
deceptive,0.282043,0.455968
honest,0.106389,0.413272
ambiguous,0.439823,0.474786
ambiguous,0.284482,0.455182
honest,0.108162,0.424037
honest,0.089423,0.415655
deceptive,0.471751,0.477941
deceptive,0.361595,0.464975
honest,0.081185,0.414799
deceptive,0.314027,0.458963
deceptive,0.372364,0.467292
honest,0.116520,0.423518
honest,0.092440,0.421265
deceptive,0.421061,0.474051
honest,0.119590,0.421691
honest,0.091102,0.420204
deceptive,0.305919,0.459980
deceptive,0.465557,0.479614
honest,0.112866,0.419353
deceptive,0.388195,0.469709
honest,0.147694,0.432933
deceptive,0.379065,0.470505
ambiguous,0.217612,0.446902
honest,0.187292,0.438637
honest,0.077610,0.413531
honest,0.114858,0.425720
deceptive,0.227313,0.450048
honest,0.126846,0.427401
honest,0.074115,0.414587
honest,0.162382,0.436301
honest,0.105562,0.417221
honest,0.110709,0.425765
honest,0.090136,0.417459
deceptive,0.457742,0.477982
deceptive,0.526985,0.485089
honest,0.136254,0.432962
honest,0.171483,0.435050
honest,0.127650,0.428794
deceptive,0.145623,0.433404
deceptive,0.380827,0.467709
honest,0.069870,0.405075
honest,0.082819,0.411060
honest,0.076875,0.405883
honest,0.107377,0.417426
honest,0.129253,0.428322
deceptive,0.250104,0.450775
deceptive,0.389686,0.470024
honest,0.090100,0.412645
deceptive,0.432815,0.475074
honest,0.122277,0.427690
deceptive,0.242480,0.450239
honest,0.063427,0.407011
deceptive,0.476586,0.479448
deceptive,0.384445,0.469116
honest,0.091446,0.413703
deceptive,0.464109,0.481344
deceptive,0.271031,0.453996
deceptive,0.504852,0.483101
deceptive,0.214530,0.445831
deceptive,0.241166,0.452391
deceptive,0.330592,0.464273
deceptive,0.339571,0.461823
deceptive,0.393663,0.466208
honest,0.154167,0.433384
honest,0.095262,0.421689
honest,0.102929,0.418210
deceptive,0.361621,0.469760
honest,0.134254,0.429062
honest,0.087779,0.418773
honest,0.051786,0.401168
honest,0.170049,0.439735
honest,0.075729,0.414121
honest,0.075434,0.416357
deceptive,0.196490,0.445312
honest,0.112062,0.422720
honest,0.090559,0.418967
honest,0.140496,0.432358
honest,0.079764,0.414199
ambiguous,0.307466,0.460261
deceptive,0.404477,0.470117
deceptive,0.393431,0.470103
honest,0.130837,0.425659
honest,0.115254,0.424404
honest,0.116693,0.423695
honest,0.083828,0.414945
ambiguous,0.291275,0.457542
deceptive,0.276172,0.455743
deceptive,0.418982,0.474890
honest,0.114999,0.425745
honest,0.149906,0.435917
honest,0.096408,0.418694
deceptive,0.325921,0.463709
deceptive,0.415100,0.469940
deceptive,0.336395,0.464173
honest,0.108773,0.421545
deceptive,0.302825,0.459949
deceptive,0.554950,0.488040
deceptive,0.272016,0.454348
honest,0.145252,0.433469
deceptive,0.342549,0.467749
deceptive,0.317194,0.461520
honest,0.077153,0.412370
honest,0.134773,0.430526
honest,0.106012,0.422823
honest,0.063137,0.406892
honest,0.114998,0.424368
honest,0.119630,0.425621
deceptive,0.292854,0.457691
deceptive,0.393216,0.470670
ambiguous,0.402427,0.470885
honest,0.124624,0.428953
deceptive,0.535240,0.487287
deceptive,0.314097,0.462123
deceptive,0.246781,0.453275
deceptive,0.235558,0.452541
deceptive,0.290241,0.457465
honest,0.057020,0.406071
honest,0.088168,0.417399
honest,0.072881,0.409198
deceptive,0.429833,0.471822
honest,0.093252,0.420463
deceptive,0.313646,0.461258
ambiguous,0.318027,0.461308
deceptive,0.393016,0.470298
honest,0.127325,0.421791
honest,0.071326,0.410811
honest,0.112134,0.419711
deceptive,0.205389,0.446949
ambiguous,0.372888,0.467281
honest,0.131679,0.431745
honest,0.068510,0.408971
honest,0.119699,0.425847
honest,0.084224,0.414565
deceptive,0.331845,0.461087
honest,0.099430,0.421742
honest,0.085310,0.410424
deceptive,0.483802,0.479562
honest,0.128539,0.428340
deceptive,0.342070,0.464969
deceptive,0.183215,0.442123
deceptive,0.315918,0.461110
honest,0.053966,0.402715
deceptive,0.302580,0.460475
deceptive,0.283237,0.455888
honest,0.049306,0.402131
deceptive,0.254505,0.451838
honest,0.147404,0.433204
honest,0.060654,0.405289
honest,0.076518,0.412140
deceptive,0.264035,0.454901
deceptive,0.415989,0.473145
honest,0.129181,0.429529
honest,0.058771,0.410061
deceptive,0.336284,0.463022
honest,0.070426,0.412730
deceptive,0.393712,0.472448
honest,0.073699,0.414408
deceptive,0.405211,0.471189
honest,0.094016,0.418866
deceptive,0.489576,0.481123
honest,0.088565,0.416788
deceptive,0.349899,0.465682
deceptive,0.343034,0.464346
deceptive,0.532216,0.487002
honest,0.083811,0.409556
deceptive,0.308250,0.459611
deceptive,0.304348,0.459688
deceptive,0.312455,0.460243
deceptive,0.354394,0.465591
ambiguous,0.391436,0.469773
deceptive,0.306403,0.459073
honest,0.168289,0.438061
honest,0.128613,0.428895
honest,0.080981,0.413369
honest,0.120888,0.426993
deceptive,0.328875,0.463821
ambiguous,0.430722,0.473309
deceptive,0.304795,0.459246
honest,0.117294,0.423379
deceptive,0.397370,0.473149
honest,0.072163,0.404167
honest,0.081834,0.415238
deceptive,0.417742,0.472446
deceptive,0.367311,0.465971
deceptive,0.524337,0.484515
ambiguous,0.185689,0.440829
deceptive,0.394344,0.470537
honest,0.128650,0.428058
honest,0.097615,0.422141
honest,0.057670,0.408725
deceptive,0.248155,0.451898
deceptive,0.387651,0.468733
honest,0.090736,0.412946
deceptive,0.410677,0.472361
deceptive,0.481240,0.479929
honest,0.098507,0.420854
ambiguous,0.342192,0.463468
deceptive,0.257622,0.453198
honest,0.098395,0.421770
deceptive,0.405344,0.472728
deceptive,0.376487,0.465950
honest,0.161699,0.436947
deceptive,0.397082,0.471728
honest,0.115841,0.423672
deceptive,0.353321,0.463982
deceptive,0.500026,0.480418
deceptive,0.272440,0.457877
deceptive,0.414534,0.472327
honest,0.052773,0.403335
deceptive,0.239272,0.443346
deceptive,0.299895,0.458893
honest,0.087022,0.419336
honest,0.188379,0.441807
honest,0.114340,0.419866
deceptive,0.419233,0.473834
deceptive,0.260946,0.455340
deceptive,0.422312,0.473468
honest,0.179015,0.439019
honest,0.155912,0.433634
honest,0.099037,0.428785
honest,0.072830,0.404073
deceptive,0.255651,0.454773
deceptive,0.305387,0.459836
honest,0.067942,0.406076
honest,0.118129,0.427190
honest,0.054103,0.402671
ambiguous,0.335142,0.464535
deceptive,0.423414,0.475265
deceptive,0.491348,0.479682
deceptive,0.292295,0.458042
honest,0.099575,0.417596
honest,0.174130,0.435090
deceptive,0.345516,0.464577
deceptive,0.300202,0.454923
honest,0.073681,0.410910
honest,0.061912,0.406142
deceptive,0.263683,0.453473
deceptive,0.326362,0.461580
honest,0.119784,0.426522
honest,0.126738,0.421899
honest,0.109458,0.421972
honest,0.085920,0.415500
honest,0.143132,0.431493
honest,0.127178,0.429183
honest,0.116724,0.427717
deceptive,0.492806,0.478739
honest,0.072379,0.410902
honest,0.085580,0.409441
deceptive,0.299925,0.459651
deceptive,0.276903,0.456408
honest,0.113732,0.427406
deceptive,0.390621,0.473247
honest,0.128717,0.429261
honest,0.123784,0.428218
honest,0.075500,0.415951
honest,0.142415,0.431200
ambiguous,0.233966,0.449632
deceptive,0.177790,0.443009
honest,0.114420,0.421611
honest,0.082560,0.412518
deceptive,0.407451,0.472638
deceptive,0.283386,0.457034
honest,0.166260,0.436804
deceptive,0.255176,0.453300
honest,0.081206,0.414802
deceptive,0.180990,0.440291
deceptive,0.509555,0.476163
deceptive,0.304710,0.460101
honest,0.091598,0.417956
honest,0.071283,0.411738
deceptive,0.223287,0.447559
honest,0.146189,0.432425
honest,0.094189,0.421004
honest,0.094356,0.419095
honest,0.052949,0.405661
deceptive,0.326306,0.463598
honest,0.075370,0.414303
deceptive,0.451295,0.478341
honest,0.118482,0.426704
honest,0.094775,0.421786
honest,0.127499,0.419926
honest,0.119961,0.428456
honest,0.150400,0.433671
deceptive,0.520240,0.487003
honest,0.140119,0.430603
deceptive,0.246206,0.451165
honest,0.071040,0.410997
honest,0.134987,0.432812
honest,0.150796,0.430611
deceptive,0.376532,0.467224
deceptive,0.418882,0.473661
honest,0.097628,0.417350
ambiguous,0.305280,0.461071
deceptive,0.200036,0.443065
ambiguous,0.210485,0.446001
honest,0.067541,0.405545
honest,0.104056,0.423715
honest,0.055995,0.398413
honest,0.116688,0.419063
deceptive,0.219736,0.449377
deceptive,0.323782,0.464968
deceptive,0.345746,0.462197
ambiguous,0.208709,0.447431
honest,0.158108,0.437329
honest,0.101182,0.421121
honest,0.158166,0.422276
honest,0.097213,0.412106
honest,0.118487,0.427007
deceptive,0.299712,0.458435
honest,0.025708,0.382488
ambiguous,0.299409,0.461506
honest,0.116505,0.423253
honest,0.081264,0.411248
deceptive,0.428675,0.474128
honest,0.085893,0.418404
honest,0.116042,0.426296
honest,0.123238,0.424066
honest,0.151438,0.431552
honest,0.091426,0.415624
deceptive,0.248787,0.450208
honest,0.091941,0.416874
deceptive,0.295219,0.457854
deceptive,0.415818,0.472716
deceptive,0.422305,0.474203
honest,0.081491,0.417749
honest,0.097038,0.416138
honest,0.128657,0.428315
honest,0.133516,0.430741
honest,0.034318,0.390884
deceptive,0.317755,0.459183
deceptive,0.264262,0.452486
deceptive,0.292448,0.455393
honest,0.105542,0.420503
honest,0.147108,0.432659
honest,0.100901,0.424414
honest,0.115286,0.425507
deceptive,0.365750,0.468234
honest,0.044467,0.400218
deceptive,0.357007,0.467721
deceptive,0.380827,0.471241
deceptive,0.254557,0.454244
honest,0.076334,0.415271
honest,0.068262,0.407254
deceptive,0.332854,0.463559
honest,0.126505,0.429169
deceptive,0.387180,0.464111
honest,0.131260,0.423928
deceptive,0.350330,0.465438
deceptive,0.331173,0.462144
honest,0.089887,0.417391
deceptive,0.358164,0.464315
deceptive,0.220849,0.450101
deceptive,0.339580,0.465152
honest,0.070332,0.409757
ambiguous,0.205938,0.445320
honest,0.186250,0.438679
honest,0.053549,0.401031
honest,0.176676,0.439708
honest,0.073449,0.412945
honest,0.128738,0.427417
deceptive,0.201974,0.446527
honest,0.083203,0.413893
deceptive,0.316156,0.462693
honest,0.080873,0.403227
honest,0.202912,0.439773
honest,0.112472,0.423366
honest,0.075236,0.411844
deceptive,0.272835,0.455184
honest,0.116730,0.422818
honest,0.131501,0.430106
honest,0.108694,0.424466
honest,0.065996,0.405484
honest,0.184235,0.440512
honest,0.126175,0.427337
ambiguous,0.239268,0.446829
honest,0.074713,0.414382
honest,0.065403,0.409858
honest,0.136855,0.432116
honest,0.126892,0.428500
deceptive,0.397414,0.468865
honest,0.050461,0.399072
ambiguous,0.358592,0.466160
honest,0.068408,0.410201
deceptive,0.428895,0.476187
honest,0.127520,0.428063
deceptive,0.305787,0.460182
honest,0.053741,0.402349
deceptive,0.222266,0.447594
deceptive,0.417095,0.466996
deceptive,0.493915,0.481677
honest,0.112256,0.426436
honest,0.071301,0.415343
deceptive,0.283721,0.459074
honest,0.062273,0.407940
honest,0.104340,0.416380
deceptive,0.457846,0.477868
honest,0.111163,0.423039
deceptive,0.326783,0.463428
honest,0.043533,0.396103
honest,0.086169,0.413733
deceptive,0.363894,0.469029
deceptive,0.408444,0.471031
honest,0.064115,0.399318
honest,0.070308,0.410048
honest,0.094925,0.414607
deceptive,0.233425,0.451195
ambiguous,0.365316,0.467856
honest,0.135882,0.429448
deceptive,0.458665,0.477741
honest,0.074619,0.411353
honest,0.064288,0.407862
deceptive,0.385102,0.470486
deceptive,0.507447,0.483194
honest,0.136714,0.432294
honest,0.126538,0.421579
honest,0.092682,0.420362
honest,0.077445,0.415840
honest,0.107715,0.422042
honest,0.132086,0.423258
honest,0.173972,0.441528
honest,0.063685,0.406908
honest,0.117436,0.423180
honest,0.051738,0.401839
honest,0.102567,0.423057
honest,0.111029,0.426463
honest,0.154982,0.433270
honest,0.091786,0.418121
deceptive,0.546304,0.488333
deceptive,0.448876,0.477403
honest,0.148925,0.431177
ambiguous,0.246053,0.450214
honest,0.123493,0.426893
deceptive,0.239354,0.454142
honest,0.186127,0.438643
deceptive,0.207744,0.444986
honest,0.082795,0.415231
honest,0.077898,0.409641
honest,0.051739,0.399010
honest,0.044034,0.396776
honest,0.125656,0.428583
deceptive,0.269906,0.455875
deceptive,0.307533,0.461149
honest,0.106246,0.425831
deceptive,0.333813,0.463815
honest,0.096672,0.422805
honest,0.117119,0.426498
honest,0.072215,0.411352
deceptive,0.236462,0.449357
honest,0.108748,0.426296
honest,0.100281,0.422650
deceptive,0.359460,0.468494
honest,0.081746,0.415353
honest,0.042517,0.396881
deceptive,0.370865,0.467240
honest,0.051917,0.399877
honest,0.084492,0.415770
deceptive,0.247271,0.453388
deceptive,0.443769,0.475586
honest,0.046348,0.401510
honest,0.091311,0.417381
honest,0.118795,0.425185
honest,0.128965,0.425869
honest,0.075375,0.414725
honest,0.121901,0.428999
honest,0.116927,0.423451
honest,0.070700,0.406241
ambiguous,0.263108,0.454738
honest,0.078109,0.415628
honest,0.086808,0.411330
honest,0.142582,0.431287
deceptive,0.274450,0.456048
honest,0.150129,0.433221
deceptive,0.352538,0.467181
ambiguous,0.525780,0.482506
honest,0.087100,0.417896
honest,0.050801,0.402858
deceptive,0.313358,0.463782
deceptive,0.348839,0.467003
deceptive,0.396629,0.471370
honest,0.096976,0.413268
deceptive,0.248704,0.451035
ambiguous,0.284287,0.458768
honest,0.108024,0.422547
ambiguous,0.190603,0.442570
deceptive,0.456563,0.478534
deceptive,0.341898,0.463165
honest,0.145219,0.431054
ambiguous,0.356868,0.464765
honest,0.161573,0.436385
honest,0.080583,0.415486
deceptive,0.285862,0.453330
deceptive,0.363951,0.465133
deceptive,0.332101,0.464725
deceptive,0.589224,0.490157
deceptive,0.383252,0.471002
honest,0.121252,0.423707
honest,0.114162,0.427328
honest,0.066179,0.409792
honest,0.137601,0.430804
deceptive,0.253084,0.453821
honest,0.061378,0.408793
deceptive,0.403014,0.468821
deceptive,0.280720,0.457363
deceptive,0.351461,0.466482
deceptive,0.226166,0.448586
ambiguous,0.332671,0.463107
ambiguous,0.273915,0.458897
honest,0.072560,0.408847
deceptive,0.385673,0.471938
honest,0.107153,0.425339
deceptive,0.381358,0.469299
honest,0.041709,0.392722
ambiguous,0.228730,0.448637
honest,0.064765,0.404404
honest,0.078810,0.409029
honest,0.141382,0.427827
deceptive,0.307963,0.460335
honest,0.126999,0.426318
deceptive,0.281902,0.455014
honest,0.098997,0.416795
deceptive,0.422365,0.473903
deceptive,0.384282,0.469059
deceptive,0.349977,0.463317
honest,0.117615,0.424272
honest,0.112508,0.427725
deceptive,0.242323,0.450655
ambiguous,0.259257,0.454711
deceptive,0.375625,0.470044
honest,0.131133,0.429518
honest,0.090841,0.414540
deceptive,0.393644,0.472216
honest,0.118027,0.420917
deceptive,0.389156,0.469559
honest,0.072086,0.407945
honest,0.082906,0.412621
deceptive,0.413870,0.474717
honest,0.119486,0.427424
deceptive,0.290122,0.458106
deceptive,0.347509,0.464271
honest,0.106797,0.422567
honest,0.166458,0.436963
honest,0.145657,0.430978
deceptive,0.301939,0.462360
deceptive,0.288138,0.456527
deceptive,0.252996,0.454144
honest,0.084441,0.417962
honest,0.112909,0.426708
ambiguous,0.241179,0.450123
deceptive,0.445361,0.478127
deceptive,0.357548,0.466096
deceptive,0.353749,0.467343
deceptive,0.402814,0.473573
honest,0.112438,0.424742
honest,0.140349,0.431802
deceptive,0.291595,0.459141
honest,0.081343,0.416308
deceptive,0.273743,0.455422
deceptive,0.409923,0.471587
deceptive,0.367491,0.465281
honest,0.104760,0.417948
honest,0.104769,0.423239
deceptive,0.553206,0.487808
deceptive,0.390202,0.466474
honest,0.073421,0.409096
honest,0.078663,0.412109
honest,0.108524,0.422354
honest,0.043471,0.395518
deceptive,0.460957,0.477515
honest,0.125390,0.425300
honest,0.135798,0.431358
honest,0.065750,0.410214
ambiguous,0.504806,0.481393
honest,0.115750,0.426505
honest,0.047225,0.398767
honest,0.134569,0.430387
honest,0.136529,0.431026
deceptive,0.295768,0.458266
deceptive,0.173786,0.440172
honest,0.046539,0.402212
deceptive,0.431334,0.475575
honest,0.101306,0.423894
honest,0.127116,0.429088
deceptive,0.245146,0.454007
ambiguous,0.278595,0.456766
honest,0.122566,0.425529
honest,0.085441,0.411366
honest,0.050640,0.402199
deceptive,0.409800,0.469290
deceptive,0.291085,0.460411
deceptive,0.382888,0.469776
ambiguous,0.252188,0.452515
ambiguous,0.268271,0.453990
deceptive,0.349304,0.466734
honest,0.123391,0.428667
deceptive,0.281385,0.458255
deceptive,0.371149,0.467704
honest,0.065728,0.408350
deceptive,0.371254,0.466526
ambiguous,0.295153,0.457209
honest,0.138713,0.429853
honest,0.093574,0.418640
deceptive,0.260462,0.451656
honest,0.124330,0.425347
deceptive,0.211352,0.447099
honest,0.108512,0.418524
ambiguous,0.236800,0.448337
deceptive,0.373214,0.469642
deceptive,0.428574,0.474759
ambiguous,0.251996,0.451959
honest,0.070502,0.410912
deceptive,0.444521,0.472109
deceptive,0.346712,0.465108
ambiguous,0.338300,0.462378
honest,0.137371,0.430949
deceptive,0.385701,0.470293
deceptive,0.646231,0.494998
deceptive,0.268771,0.449482
deceptive,0.459245,0.478819
deceptive,0.302447,0.461139
honest,0.045312,0.395334
honest,0.091977,0.419123
