score_lr,score_diff_of_means
0.026504,0.388089
0.022945,0.384720
0.037371,0.396558
0.032831,0.392690
0.009331,0.366756
0.028151,0.390069
0.004876,0.353338
0.025595,0.386177
0.044901,0.400704
0.087739,0.422214
0.003153,0.342868
0.014754,0.377192
0.050606,0.404525
0.015891,0.377066
0.016089,0.370192
0.009493,0.354993
0.041742,0.399918
0.006293,0.353645
0.072487,0.413659
0.005112,0.353589
0.019644,0.378604
0.043153,0.401068
0.015445,0.375512
0.028770,0.393045
0.032264,0.392486
0.003582,0.347092
0.020653,0.395698
0.006303,0.352721
0.070505,0.415175
0.028013,0.391227
0.018595,0.383433
0.027516,0.379978
0.043002,0.413409
0.008506,0.362983
0.018831,0.377873
0.009298,0.365118
0.021167,0.381013
0.034205,0.391793
0.048717,0.398258
0.013461,0.364910
0.006916,0.363638
0.014733,0.373835
0.065137,0.406775
0.015573,0.367083
0.044655,0.406970
0.014130,0.372794
0.023642,0.387281
0.035964,0.401001
0.045550,0.402235
0.019101,0.375842
0.060188,0.412399
0.050199,0.409411
0.020390,0.380807
0.006911,0.367826
0.011500,0.369095
0.043831,0.402077
0.013096,0.368643
0.012447,0.363543
0.043755,0.401717
0.014265,0.370106
0.003981,0.346077
0.012054,0.374659
0.016571,0.377201
0.051718,0.407903
0.016766,0.371817
0.071739,0.413047
0.027392,0.383383
0.024148,0.390302
0.011600,0.369439
0.029696,0.398554
0.038411,0.397956
0.008520,0.353861
0.008443,0.354155
0.036448,0.395724
0.036137,0.393809
0.034087,0.391048
0.014755,0.373382
0.001918,0.335393
0.004346,0.350673
0.017503,0.377785
0.002030,0.329622
0.006377,0.359566
0.007318,0.352982
0.035775,0.393596
0.011568,0.357784
0.011871,0.360800
0.016978,0.386485
0.019841,0.377313
0.011133,0.367655
0.023298,0.379794
0.042356,0.397876
0.042273,0.399156
0.023035,0.386943
0.040808,0.395942
0.043993,0.405527
0.042390,0.395217
0.032835,0.392161
0.018430,0.373352
0.021716,0.377340
0.068632,0.411147
0.021158,0.370983
0.023328,0.378398
0.015729,0.370251
0.014262,0.375692
0.021920,0.376203
0.008675,0.362540
0.021918,0.384174
0.029282,0.388213
0.011702,0.365243
0.027828,0.386118
0.011091,0.360572
0.015664,0.370703
0.035266,0.391510
0.014981,0.375667
0.015561,0.377681
0.012426,0.376633
0.002724,0.340854
0.021756,0.395153
0.049632,0.405572
0.011302,0.366052
0.034176,0.384706
0.018971,0.383721
0.003988,0.350744
0.018334,0.383067
0.055245,0.407389
0.014154,0.375593
0.010075,0.365636
0.014033,0.374860
0.010536,0.364993
0.021640,0.388029
0.078788,0.417785
0.014967,0.374737
0.029420,0.389252
0.006483,0.362010
0.063035,0.409221
0.026651,0.385621
0.030361,0.396692
0.028368,0.388720
0.037158,0.396492
0.038505,0.397984
0.012589,0.371744
0.014376,0.363756
0.060729,0.410053
0.009866,0.363466
0.027145,0.390031
0.027313,0.387585
0.027999,0.386975
0.061173,0.408265
0.026334,0.374065
0.041909,0.396800
0.014634,0.366049
0.032446,0.390088
0.008353,0.362689
0.012794,0.365220
0.024877,0.373008
0.014401,0.371551
0.018868,0.376421
0.015240,0.374301
0.039922,0.394412
0.035502,0.393427
0.064553,0.408484
0.018354,0.383298
0.026333,0.387191
0.041730,0.396212
0.009344,0.368915
0.026408,0.380262
0.024849,0.389865
0.074358,0.418426
0.018665,0.377165
0.017844,0.394012
0.071863,0.415892
0.108104,0.427968
0.018056,0.374217
0.047197,0.399365
0.055048,0.403472
0.034314,0.391365
0.027291,0.376977
0.024070,0.386819
0.025824,0.388894
0.036030,0.393514
0.015882,0.371612
0.027754,0.383469
0.018012,0.377442
0.022143,0.384482
0.367576,0.473641
0.037876,0.396328
0.027566,0.378242
0.004332,0.354772
0.067921,0.410319
0.055712,0.409916
0.011190,0.363210
0.009231,0.370809
0.025589,0.388823
0.041070,0.395844
0.018083,0.384878
0.061441,0.413267
0.020760,0.380920
0.027589,0.395232
0.016914,0.381074
0.020428,0.382654
0.073006,0.421341
0.034831,0.395705
0.032302,0.391739
0.009944,0.365578
0.014079,0.378523
0.007292,0.372695
0.034599,0.388499
0.023204,0.385276
0.020692,0.392144
0.011327,0.365450
0.018372,0.378927
0.014995,0.372321
0.026354,0.385623
0.002037,0.330197
0.013385,0.356059
0.031646,0.389747
0.032657,0.396825
0.032314,0.394636
0.019582,0.375752
0.040998,0.397822
0.022532,0.383748
0.014575,0.368771
0.044226,0.401245
0.014681,0.367060
0.029530,0.388621
0.027963,0.388956
0.016243,0.370628
0.021728,0.385969
0.027331,0.389840
0.007150,0.351026
0.029954,0.389321
0.018192,0.379836
0.011817,0.368008
0.011478,0.366932
0.002244,0.341506
0.009861,0.369759
0.019626,0.379879
0.033456,0.383782
0.016481,0.375207
0.009925,0.369829
0.015973,0.382468
0.015453,0.370619
0.030835,0.390050
0.014920,0.378476
0.028330,0.393450
0.012084,0.369337
0.032748,0.393991
0.056597,0.415668
0.031401,0.391169
0.018506,0.380830
0.010403,0.361473
0.005882,0.355561
0.494915,0.497701
0.041370,0.400862
0.027016,0.384410
0.016378,0.377833
0.020196,0.377819
0.029041,0.383052
0.015276,0.371014
0.020350,0.367470
0.021050,0.374110
0.027581,0.391187
0.011657,0.366449
0.019156,0.380301
0.017131,0.373214
0.015122,0.377297
0.032195,0.396556
0.012863,0.378388
0.006594,0.363389
0.008921,0.366612
0.014010,0.374010
0.058913,0.423563
0.026204,0.389106
0.032227,0.391539
0.019112,0.379247
0.024198,0.385162
0.012743,0.363003
0.067898,0.412510
0.087148,0.422177
0.027246,0.386589
0.015215,0.378096
0.062880,0.419563
0.028994,0.388577
0.026833,0.386118
0.034593,0.392255
0.040402,0.397516
0.030347,0.381862
0.024533,0.383009
0.025164,0.386175
0.033870,0.398174
0.068178,0.415114
0.056915,0.405953
0.039262,0.395922
0.019064,0.381010
0.020214,0.379247
0.015139,0.371056
0.029534,0.391451
0.010007,0.360163
0.145664,0.432902
0.039506,0.400321
0.026046,0.390395
0.017950,0.375908
0.034283,0.399786
0.050339,0.403433
0.051061,0.402746
0.017503,0.375030
0.031778,0.394979
0.017423,0.374817
0.032113,0.390730
0.025250,0.384867
0.032158,0.392311
0.006420,0.359928
0.012570,0.379243
0.017034,0.379844
0.026823,0.388484
0.019831,0.376664
0.021641,0.384877
0.010950,0.368649
0.023986,0.383151
0.046060,0.401170
0.026266,0.385106
0.045132,0.401188
0.026849,0.388866
0.036820,0.403719
0.016954,0.378389
0.005250,0.353063
0.017724,0.372879
0.006891,0.370459
0.029602,0.390099
0.026450,0.390459
0.007796,0.352368
0.010226,0.367665
0.008395,0.365560
0.009119,0.365750
0.004266,0.351457
0.017435,0.381675
0.015543,0.373040
0.019274,0.384922
0.008683,0.363893
0.014733,0.373091
0.012854,0.379107
0.011818,0.367289
0.014739,0.370395
0.035219,0.395191
0.036820,0.400731
0.036269,0.392713
0.027079,0.376350
0.037986,0.398685
0.042083,0.397773
0.013897,0.376298
0.048252,0.402592
0.017853,0.376015
0.007829,0.369799
0.029072,0.379424
0.037603,0.392676
0.012660,0.359477
0.017643,0.389066
0.027606,0.394341
0.018419,0.381527
0.017446,0.385036
0.055191,0.405397
0.012310,0.371798
0.010476,0.366048
0.061529,0.413621
0.006531,0.347025
0.029469,0.390609
0.035368,0.394114
0.021729,0.380902
0.010713,0.374521
0.029854,0.390789
0.032784,0.396499
0.012706,0.374567
0.018728,0.377100
0.010398,0.365377
0.032651,0.394148
0.007751,0.359601
0.178647,0.457352
0.054736,0.405925
0.039376,0.396939
0.002326,0.337330
0.010913,0.366034
0.033423,0.396202
0.018713,0.382657
0.017279,0.377374
0.017000,0.374969
0.022528,0.383581
0.005570,0.359965
0.008483,0.359073
0.004229,0.349846
0.045579,0.401409
0.006116,0.345971
0.036951,0.396033
0.028513,0.388727
0.020044,0.378364
0.039439,0.398318
0.013246,0.382795
0.026762,0.387740
0.029953,0.392255
0.009150,0.368662
0.049899,0.410993
0.017661,0.375953
0.020640,0.380373
0.031183,0.390092
0.320595,0.461633
0.021545,0.380022
0.027011,0.387102
0.031130,0.391742
0.038433,0.397992
0.015720,0.373329
0.014067,0.369094
0.025102,0.385264
0.035120,0.401457
0.003868,0.342142
0.007040,0.353188
0.020665,0.380404
0.010011,0.365077
0.021746,0.387744
0.011012,0.373561
0.010843,0.365695
0.027943,0.390717
0.049586,0.406989
0.076036,0.422282
0.145375,0.445673
0.016675,0.382299
0.037918,0.404711
0.030321,0.391975
0.021497,0.384023
0.011383,0.357705
0.045468,0.401823
0.025659,0.384434
0.029662,0.392641
0.026928,0.383190
0.022388,0.379680
0.021230,0.387550
0.016664,0.373198
0.041881,0.400015
0.013779,0.376685
0.085414,0.422368
0.021137,0.376736
0.016847,0.370890
0.003110,0.338472
0.022495,0.383339
0.012594,0.378489
0.004771,0.349662
0.020631,0.383914
0.005919,0.353071
0.035171,0.397014
0.024061,0.384729
0.025060,0.388110
0.014015,0.377162
0.009935,0.364632
0.017455,0.377781
0.042028,0.402211
0.031581,0.391544
0.014938,0.375325
0.025218,0.381440
0.011712,0.374630
0.024648,0.388366
0.017694,0.375786
0.014300,0.372923
0.020581,0.378823
0.037753,0.407921
0.050970,0.404969
0.012589,0.370004
0.022836,0.383582
0.021890,0.376017
0.025073,0.388890
0.014591,0.379365
0.023107,0.386370
0.022907,0.382665
0.050034,0.407486
0.004504,0.340065
0.017180,0.373710
0.048162,0.406922
0.004817,0.362917
0.031410,0.389769
0.011378,0.369428
0.039004,0.396488
0.009411,0.368546
0.032299,0.394136
0.006933,0.345377
0.058588,0.408779
0.011281,0.369705
0.031408,0.390153
0.008053,0.362958
0.074862,0.412861
0.050401,0.411703
0.021780,0.380803
0.025804,0.393495
0.017729,0.377295
0.021604,0.382553
0.032836,0.393727
0.041245,0.398423
0.022259,0.380888
0.015738,0.373434
0.010811,0.367712
0.020753,0.381668
0.040825,0.397080
0.026265,0.386401
0.017214,0.375055
0.037593,0.395393
0.022983,0.383937
0.026731,0.385547
0.015706,0.372045
0.034097,0.393354
0.026121,0.387788
0.025767,0.384629
0.111303,0.432518
0.033778,0.392065
0.023878,0.391292
0.019743,0.383202
0.014932,0.375809
0.030088,0.385193
0.011597,0.366953
0.011453,0.368352
0.021551,0.380484
0.013130,0.370905
0.027794,0.387134
0.038785,0.396168
0.052697,0.403146
0.026318,0.390992
0.025476,0.388662
0.028886,0.390365
0.023807,0.396221
0.029944,0.390315
0.015525,0.375219
0.006318,0.356293
0.029808,0.389750
0.021122,0.382570
0.003607,0.334085
0.012604,0.368782
0.036401,0.392812
0.009767,0.362687
0.019268,0.380152
0.019063,0.380644
0.017607,0.377445
0.002098,0.337836
0.013488,0.372441
0.022392,0.380359
0.095255,0.426644
0.034647,0.394583
0.016187,0.376297
0.042639,0.403115
0.011989,0.367823
0.036376,0.393972
0.013235,0.365925
0.028668,0.390517
0.015989,0.373596
0.036345,0.396854
0.017682,0.369639
0.022344,0.382353
0.011493,0.363111
0.040202,0.399741
0.022354,0.385902
0.022711,0.382386
0.029257,0.387561
0.031600,0.392611
0.072027,0.410935
0.010778,0.363967
0.027328,0.393045
0.017848,0.382216
0.047679,0.421893
0.020865,0.383935
0.006362,0.354041
0.036627,0.396630
0.029744,0.391705
0.014945,0.372846
0.010340,0.368507
0.015082,0.378359
0.027684,0.387979
0.006710,0.357192
0.019702,0.382367
0.078380,0.418593
0.020596,0.372451
0.012765,0.369831
0.032191,0.394605
0.020495,0.380071
0.004492,0.348050
0.107761,0.440197
0.029217,0.388880
0.022214,0.382089
0.015239,0.373313
0.037712,0.401778
0.018565,0.379855
0.047770,0.403101
0.038435,0.400085
0.029140,0.389246
0.010567,0.367963
0.035624,0.392489
0.021253,0.378280
0.013842,0.381678
0.028348,0.379340
0.016382,0.374908
0.018599,0.367305
0.013317,0.370054
0.005579,0.351416
0.013220,0.371050
0.035778,0.397941
0.041521,0.399681
0.016624,0.376301
0.062691,0.409293
0.012681,0.369069
0.043819,0.400067
0.028931,0.390348
0.018550,0.372456
0.019579,0.388616
0.045961,0.410821
0.009567,0.378883
0.008775,0.364481
0.032080,0.393737
0.046367,0.403274
0.024697,0.379988
0.021351,0.385036
0.043519,0.400784
0.015580,0.378941
0.010525,0.378663
0.101985,0.429956
0.007846,0.355633
0.031285,0.392946
0.031435,0.393366
0.051464,0.403932
0.023465,0.381545
0.024970,0.382834
0.039103,0.397942
0.082783,0.414060
0.020067,0.384312
0.071665,0.412207
0.052689,0.419984
0.031270,0.398960
0.018586,0.393133
0.017989,0.380787
0.018643,0.377107
0.049795,0.405166
0.022850,0.377680
0.011075,0.372447
0.015895,0.370922
0.027055,0.389128
0.043853,0.400636
0.013986,0.369516
0.035770,0.390652
0.039396,0.400804
0.025565,0.387058
0.011301,0.365843
0.036249,0.394043
0.034986,0.396297
0.022680,0.381515
0.036870,0.391201
0.057005,0.409352
0.020697,0.394373
0.010876,0.356581
0.029412,0.392344
0.018905,0.381958
0.013521,0.370950
0.016776,0.370894
0.035847,0.397209
0.034057,0.394285
0.010596,0.359798
0.040067,0.394556
0.021247,0.380974
0.028098,0.388207
0.018469,0.374745
0.046307,0.403274
0.037110,0.395082
0.023847,0.387469
0.009402,0.362325
0.065712,0.411087
0.046407,0.402328
0.021310,0.384668
0.034489,0.395053
0.033760,0.396252
0.018347,0.377351
0.035256,0.395503
0.034146,0.396093
0.045806,0.403876
0.017537,0.380666
0.031124,0.389121
0.035383,0.393967
0.054350,0.407840
0.013566,0.366445
0.039436,0.398058
0.015417,0.379964
0.028718,0.390795
0.027854,0.391835
0.018134,0.378684
0.037165,0.395388
0.033838,0.393032
0.045663,0.402305
0.012856,0.369758
0.040014,0.399030
0.021607,0.376675
0.023527,0.386843
0.042812,0.396349
0.035593,0.394917
0.052646,0.411895
0.026503,0.388888
0.011906,0.365615
0.032197,0.394819
0.016449,0.374355
0.025056,0.382724
0.030314,0.388696
0.040993,0.401749
0.012066,0.364618
0.017885,0.379830
0.009506,0.353230
0.038904,0.398371
0.010603,0.362389
0.002319,0.346526
0.013102,0.355138
0.044561,0.401013
0.042020,0.398240
0.031424,0.393310
0.007770,0.355610
0.018468,0.378180
0.009612,0.364902
0.028538,0.393984
0.030338,0.392341
0.011261,0.367785
0.011235,0.370040
0.020576,0.378759
0.007356,0.361116
0.015129,0.372030
0.016899,0.375591
0.002437,0.338415
0.023057,0.383496
0.033493,0.396146
0.050594,0.405807
0.029706,0.389466
0.119780,0.438637
0.023786,0.392718
0.047323,0.405226
0.024221,0.387174
0.009315,0.356397
0.044468,0.405982
0.029409,0.382488
0.015100,0.366025
0.019805,0.383831
0.008798,0.364734
0.040392,0.397786
0.031493,0.394754
0.006701,0.355614
0.038246,0.396128
0.014345,0.374317
0.022437,0.393027
0.005756,0.354374
0.014639,0.375686
0.091202,0.438856
0.015253,0.384405
0.062341,0.409482
0.013485,0.373251
0.012100,0.368815
0.010461,0.366367
0.006574,0.360360
0.011022,0.369649
0.030995,0.388590
0.002961,0.343422
0.011478,0.367924
0.014073,0.365462
0.016158,0.373284
0.015178,0.373983
0.012764,0.371551
0.053504,0.406452
0.069785,0.409987
0.006871,0.357328
0.037959,0.397035
0.026958,0.387053
0.017892,0.378882
0.007494,0.354186
0.056736,0.409863
0.004989,0.351207
0.027605,0.392748
0.017854,0.381821
0.044185,0.399421
0.026694,0.395866
0.021030,0.377604
0.026474,0.387425
0.009851,0.364840
0.027457,0.388705
0.018436,0.378550
0.029908,0.393383
0.023587,0.383071
0.013763,0.376314
0.020172,0.395993
0.041790,0.395857
0.018295,0.380590
0.020231,0.378015
0.021530,0.379928
0.021611,0.386242
0.035923,0.394907
0.020188,0.375150
0.011169,0.361599
0.034064,0.395000
0.047344,0.403102
0.029797,0.392680
0.030968,0.388765
0.023158,0.380688
0.035216,0.394765
0.028847,0.390231
0.060245,0.410040
0.020618,0.376840
0.036260,0.391093
0.025328,0.386168
0.032073,0.395768
0.029421,0.389693
0.014492,0.373961
0.031602,0.387717
0.035954,0.392773
0.020221,0.375194
0.021496,0.382732
0.031857,0.391529
0.010894,0.367112
0.028192,0.389696
0.020563,0.386987
0.036240,0.397915
0.034525,0.392734
0.019566,0.375358
0.015332,0.371369
0.054622,0.406388
0.024154,0.380692
0.048788,0.407637
0.029921,0.384945
0.026380,0.382893
0.006538,0.355144
0.040032,0.394319
0.007024,0.363377
0.015417,0.369667
0.015629,0.373818
0.017848,0.374014
0.018688,0.384078
0.005187,0.356576
0.027296,0.385487
0.008663,0.358519
0.012617,0.371970
0.038587,0.401165
0.026952,0.389259
0.039103,0.398977
0.029692,0.388573
0.020163,0.379209
0.019706,0.378670
0.034130,0.392398
0.027884,0.387346
0.017511,0.376017
0.021254,0.382736
0.018241,0.375629
0.026062,0.390273
0.003291,0.346798
0.005536,0.353016
0.006913,0.361805
0.111280,0.435173
0.032583,0.408502
0.010028,0.370677
0.009105,0.363010
0.030201,0.389687
0.008282,0.363597
0.017186,0.375288
0.040546,0.399072
0.043031,0.398546
0.019251,0.379548
0.022850,0.380351
0.018061,0.379743
0.021931,0.379340
0.038366,0.395125
0.012431,0.372531
0.028085,0.391825
0.022928,0.382252
0.013397,0.372629
0.024428,0.380761
0.038641,0.401574
0.010073,0.373330
0.040399,0.399910
0.048428,0.405393
0.018102,0.378937
0.427495,0.481719
0.006735,0.361482
0.043751,0.409899
0.014001,0.376423
0.018708,0.390633
0.018046,0.386122
0.053576,0.408971
0.056042,0.408945
0.015530,0.378683
0.027711,0.390765
0.050070,0.411537
0.014690,0.373758
0.014975,0.371351
0.033387,0.390344
0.014761,0.380648
0.015024,0.377122
0.007610,0.353805
0.006317,0.349202
0.026045,0.385016
0.018782,0.382304
0.004665,0.342052
0.020331,0.373160
0.024624,0.384001
0.015888,0.373196
0.009051,0.366458
0.050060,0.405428
0.016716,0.372114
0.049530,0.402219
0.011816,0.367666
0.010933,0.368015
0.031683,0.392848
0.010378,0.371215
0.012954,0.374448
0.013035,0.375276
0.023295,0.384743
0.247622,0.454699
0.033896,0.399454
0.044072,0.399488
0.052652,0.411420
0.026242,0.385521
0.082422,0.422646
0.011836,0.375453
0.008356,0.359301
0.029615,0.392431
0.048668,0.410472
0.020924,0.384394
0.020911,0.372432
0.037818,0.395764
0.017682,0.378151
0.011963,0.373339
0.007740,0.357440
0.051968,0.402115
0.030928,0.389274
0.003364,0.341499
0.023264,0.383163
0.038332,0.401896
0.016831,0.381040
0.032964,0.395976
0.023806,0.376464
0.050455,0.404968
0.035868,0.394063
0.041467,0.397011
0.025099,0.380650
0.014043,0.375892
0.022374,0.381382
0.011329,0.369553
0.015778,0.371953
0.026179,0.390206
0.020013,0.380107
0.015994,0.379568
0.039961,0.398207
0.016506,0.375067
0.027314,0.385020
0.241719,0.456995
0.015754,0.374809
0.017731,0.383342
0.022158,0.397206
0.023721,0.391984
0.021267,0.384432
0.018094,0.377608
0.021498,0.380239
0.039816,0.398323
0.014085,0.369567
0.032064,0.388896
0.016183,0.370681
0.044002,0.403530
0.005580,0.344797
0.042504,0.402585
0.023069,0.385285
0.085676,0.421961
0.032010,0.391990
0.018363,0.370094
0.018091,0.377418
0.048840,0.415349
0.049076,0.403784
0.007724,0.360224
0.021642,0.382037
0.017466,0.374913
0.005947,0.367659
0.018322,0.376311
0.029077,0.387234
0.003282,0.349252
0.008585,0.361746
0.028106,0.388117
0.020097,0.381421
0.026449,0.388494
0.009621,0.365256
0.026469,0.388534
0.009130,0.357326
0.007983,0.361283
0.010855,0.365127
0.024416,0.386736
0.023330,0.379028
0.014638,0.369761
0.022813,0.395427
0.033177,0.386341
0.009883,0.368747
0.027360,0.387857
0.018695,0.379294
0.010929,0.369794
0.117613,0.441664
0.016000,0.378990
0.007377,0.353673
0.036927,0.396154
0.024712,0.384317
0.028419,0.402631
0.059496,0.413656
0.282527,0.462193
0.014408,0.376642
0.020259,0.384225
0.033595,0.397018
0.018185,0.386084
0.074091,0.423498
0.034873,0.396914
0.019318,0.385547
0.026463,0.385653
0.022464,0.384093
0.009647,0.368823
0.035821,0.395865
0.053030,0.405926
0.017525,0.374572
0.027948,0.388377
0.046999,0.399638
0.025171,0.385871
0.019000,0.374482
0.023185,0.379209
0.069444,0.408398
0.014489,0.374328
0.024345,0.381681
0.010068,0.359184
0.049607,0.411222
0.054091,0.414530
0.004105,0.338662
0.029794,0.403652
0.030793,0.392355
0.008606,0.366821
0.053650,0.405504
0.055053,0.405971
0.010527,0.367900
0.015814,0.373273
0.014831,0.377171
0.258983,0.471144
0.060212,0.410017
0.048226,0.408822
0.030041,0.386327
0.007151,0.355949
0.031342,0.393440
0.021737,0.382759
0.019483,0.382840
0.012576,0.385264
0.033455,0.387388
0.041022,0.410588
0.010066,0.360423
0.019392,0.365689
0.018600,0.391626
0.050157,0.410534
0.014356,0.374230
0.021717,0.388358
0.018972,0.372447
0.019862,0.384477
0.020147,0.381536
0.015079,0.373833
0.012898,0.371465
0.116274,0.428889
0.062881,0.413983
0.013727,0.381855
0.012697,0.369394
0.033754,0.395863
0.044679,0.400554
0.024361,0.385847
0.017087,0.367170
0.010189,0.367710
0.014621,0.370733
0.005355,0.355126
0.021450,0.384567
0.036484,0.397226
0.021087,0.382371
0.058728,0.406845
0.053356,0.404354
0.024570,0.388237
0.010002,0.374607
0.016674,0.375013
0.039387,0.393964
0.038495,0.398036
0.042895,0.406184
0.028261,0.383062
0.010902,0.363803
0.017093,0.374329
0.006737,0.355925
0.366236,0.467304
0.026546,0.388496
0.013602,0.374053
0.020148,0.379004
0.028057,0.391784
0.013584,0.374942
0.006815,0.345892
0.023311,0.383498
0.017315,0.377854
0.017573,0.373886
0.017950,0.382026
0.019079,0.381369
0.015642,0.373823
0.042511,0.405465
0.008713,0.358535
0.023221,0.387984
0.015940,0.373487
0.025917,0.386776
0.049936,0.407063
0.025076,0.381048
0.024090,0.387423
0.022523,0.383283
0.026371,0.374492
0.025015,0.384521
0.002530,0.325120
0.030062,0.388785
0.027004,0.388602
0.024462,0.381685
0.012045,0.367846
0.030883,0.391301
0.025767,0.385235
0.037306,0.398001
0.061725,0.413599
0.017166,0.371117
0.016337,0.377732
0.016645,0.378755
0.011497,0.380446
0.007443,0.345081
0.032112,0.386598
0.014344,0.383622
0.024852,0.381438
0.026919,0.387064
0.063639,0.409545
0.008050,0.365004
0.007254,0.374196
0.003192,0.346947
0.140209,0.453372
0.019001,0.382051
0.020012,0.378354
0.006933,0.360325
0.026414,0.395446
0.040216,0.412845
0.013668,0.370291
0.017543,0.377496
0.018051,0.376147
0.006713,0.347002
0.066105,0.410825
0.022183,0.375792
0.012790,0.371481
0.118214,0.445780
0.009770,0.359650
0.049128,0.404259
0.092372,0.422972
0.007594,0.349575
0.016186,0.374502
0.008606,0.365191
0.005576,0.361265
0.040900,0.411006
0.019069,0.385831
0.011951,0.368931
0.016115,0.376976
0.019202,0.378369
0.022456,0.384971
0.028701,0.390462
0.067826,0.412407
0.025309,0.385719
0.051896,0.408010
0.021069,0.376876
0.001725,0.330762
0.007958,0.353252
0.028658,0.390043
0.014042,0.365121
0.015183,0.372761
0.031735,0.392128
0.011606,0.367005
0.023770,0.379894
0.024536,0.379669
0.023294,0.381166
0.015331,0.373673
0.036442,0.394234
0.004963,0.351466
0.024988,0.391541
0.015644,0.377781
0.027122,0.392359
0.075455,0.420202
0.023746,0.393617
0.021407,0.384805
0.006464,0.356593
0.020018,0.383540
0.011117,0.370123
0.203998,0.451150
0.004395,0.356755
0.140485,0.432144
0.047116,0.401125
0.016910,0.376207
0.024853,0.377916
0.012073,0.366389
0.036931,0.392577
0.017732,0.373760
0.018736,0.372672
0.036886,0.393130
0.004869,0.341899
0.023253,0.381808
0.031060,0.389866
0.053883,0.412782
0.033521,0.396396
0.023594,0.385480
0.024313,0.382948
0.031556,0.390551
0.032222,0.391653
0.024313,0.387960
0.022510,0.381634
0.020600,0.378796
0.017875,0.376917
0.034926,0.394066
0.033100,0.391252
0.009058,0.361869
0.023422,0.383749
0.017012,0.373177
0.035256,0.394334
0.033638,0.397288
0.021245,0.379996
0.013005,0.372310
0.045671,0.400809
0.023904,0.389453
0.010099,0.359040
0.015078,0.369295
0.019167,0.379891
0.018126,0.380086
0.009830,0.364393
0.012503,0.371769
0.046962,0.399726
0.026813,0.399782
0.028100,0.387925
0.026525,0.387555
0.021424,0.385940
0.002119,0.338232
0.017354,0.380831
0.006390,0.354934
0.014458,0.369629
0.017884,0.375458
0.017723,0.381538
0.023657,0.387519
0.012260,0.373020
